Date,IPO Name,Profile,Issue Size (in crores),QIB,HNI,RII,Total,Issue,Listing Open,Listing Close,Listing Gains(%),CMP,Current  Gains (%)
23-12-10,A2Z Infra Eng,https://www.moneycontrol.com/ipo/a2z-infra-eng_AME02.html,675.0,0.7,4.25,0.33,0.96,400.0,390.0,328.9,-17.78,5.25,-98.69
20-12-10,Claris Life,https://www.moneycontrol.com/ipo/claris-life_CL02.html,300.0,1.31,2.03,1.6,1.5,228.0,224.4,205.85,-9.71,396.55,73.93
15-12-10,MOIL,https://www.moneycontrol.com/ipo/moil_M11.html,1260.0,0.0,0.0,0.0,0.0,375.0,551.0,233.25,-37.8,190.10,-49.31
06-12-10,RPP Infra Proj,https://www.moneycontrol.com/ipo/rpp-infra-proj_RIP01.html,48.75,0.16,7.27,5.6,2.97,75.0,75.0,68.95,-8.07,85.50,14.0
16-11-10,Gravita India,https://www.moneycontrol.com/ipo/gravita-india_GI24.html,45.0,6.04,182.52,37.34,42.88,125.0,218.75,42.08,-66.34,186.15,48.92
04-11-10,Coal India,https://www.moneycontrol.com/ipo/coal-india_CI29.html,15475.0,24.7,25.4,2.31,15.28,245.0,300.0,342.35,39.73,143.25,-41.53
27-10-10,BS Limited,https://www.moneycontrol.com/ipo/bs-limited_BT08.html,197.36,0.52,3.16,1.04,1.1,248.0,251.0,18.93,-92.37,0.33,-99.87
27-10-10,Gyscoal Alloys,https://www.moneycontrol.com/ipo/gyscoal-alloys_GA07.html,54.67,1.54,33.44,8.0,8.59,71.0,76.6,8.16,-88.51,2.80,-96.06
27-10-10,Prestige Estate,https://www.moneycontrol.com/ipo/prestige-estate_PEP02.html,1200.0,4.32,0.24,0.08,2.26,183.0,190.0,192.55,5.22,341.80,86.78
20-10-10,Oberoi Realty,https://www.moneycontrol.com/ipo/oberoi-realty_OR.html,1028.61,22.15,3.61,0.94,12.13,260.0,280.0,282.95,8.83,672.90,158.81
18-10-10,Commercial Eng,https://www.moneycontrol.com/ipo/commercial-eng_CEB.html,172.41,3.68,0.34,0.38,2.07,127.0,122.8,112.25,-11.61,37.75,-70.28
14-10-10,Sea TV Network,https://www.moneycontrol.com/ipo/sea-tv-network_STN01.html,50.2,1.66,40.94,7.45,9.58,100.0,120.0,106.0,6.0,1.98,-98.02
14-10-10,Bedmutha Ind,https://www.moneycontrol.com/ipo/bedmutha-ind_BI20.html,91.8,0.67,29.19,8.51,7.69,102.0,114.4,180.8,77.25,41.80,-59.02
14-10-10,Ashoka Buildcon,https://www.moneycontrol.com/ipo/ashoka-buildcon_AB.html,225.0,25.52,13.91,3.46,15.94,324.0,333.55,73.33,-77.37,107.45,-66.84
13-10-10,Va Tech Wabag,https://www.moneycontrol.com/ipo/va-tech-wabag_VTW.html,472.6,36.13,100.98,8.55,36.22,1310.0,1655.0,341.88,-73.9,370.00,-71.76
12-10-10,Cantabil Retail,https://www.moneycontrol.com/ipo/cantabil-retail_CRI01.html,105.0,1.71,3.83,2.63,2.35,135.0,133.8,104.75,-22.41,401.60,197.48
12-10-10,Tecpro Systems,https://www.moneycontrol.com/ipo/tecpro-systems_TS12.html,268.03,27.99,62.48,9.07,24.47,355.0,399.4,407.85,14.89,4.53,-98.72
08-10-10,Electrosteel St,https://www.moneycontrol.com/ipo/electrosteel-st_EI19.html,0.0,5.86,28.58,6.19,8.23,11.0,11.15,11.25,2.27,31.05,182.27
08-10-10,Orient Green,https://www.moneycontrol.com/ipo/orient-green_OGP.html,900.0,2.09,0.64,0.18,1.07,47.0,45.7,44.9,-4.47,3.43,-92.7
08-10-10,Ramky Infra,https://www.moneycontrol.com/ipo/ramky-infra_RI29.html,530.0,4.52,1.45,0.99,2.89,450.0,450.0,387.35,-13.92,177.95,-60.46
06-10-10,Eros Intl,https://www.moneycontrol.com/ipo/eros-intl_EIM.html,350.0,25.79,73.4,11.95,26.51,175.0,213.55,190.05,8.6,24.80,-85.83
06-10-10,Career Point,https://www.moneycontrol.com/ipo/career-point_CPI07.html,115.0,47.45,101.93,31.74,47.39,310.0,461.0,632.35,103.98,174.80,-43.61
05-10-10,Sasta Sundar,https://www.moneycontrol.com/ipo/sasta-sundar_MFS04.html,147.5,5.91,35.88,11.04,12.2,118.0,135.1,110.9,-6.02,320.55,171.65
